tick,accX,accY,accZ
2295,-9.81479,1.06339,-0.251477
3306,-9.84353,1.07057,-0.237107
4309,-9.8579,1.03465,-0.193997
5319,-9.8076,0.984353,-0.215552
6320,-9.82197,1.13524,-0.186812
7324,-9.82916,0.955613,-0.222737
8325,-9.82916,1.14242,-0.208367
9349,-9.88664,0.962798,-0.222737
10357,-9.81479,1.09931,-0.251477
11361,-9.82197,1.0562,-0.244292
12365,-9.80042,1.1065,-0.229922
13370,-9.88664,1.00591,-0.172441
14374,-9.90101,1.02746,-0.222737
15379,-9.8579,1.04902,-0.172441
16384,-9.8579,0.998723,-0.193997
17388,-9.82916,1.09213,-0.100591
18392,-9.82916,1.1065,-0.273032
19408,-9.8579,1.07776,-0.258662
20416,-9.80042,1.00591,-0.186812
21420,-9.8579,1.04183,-0.143701
22424,-9.80042,1.07776,-0.215552
23430,-9.83635,1.0562,-0.165256
24433,-9.87946,1.02746,-0.158071
25441,-9.82197,1.04902,-0.229922
26441,-9.83635,1.08494,-0.172441
27444,-9.8076,1.03465,-0.186812
28448,-9.82916,1.0562,-0.179626
29464,-9.81479,1.04183,-0.136516
30467,-9.82916,1.06339,-0.186812
31471,-9.82197,1.07776,-0.186812
32473,-9.81479,1.02746,-0.222737
33477,-9.8076,1.08494,-0.222737
34483,-9.8579,1.09931,-0.301772
35485,-9.83635,1.02746,-0.129331
36489,-9.82916,1.09213,-0.265847
37500,-9.82197,1.06339,-0.251477
38500,-9.79323,1.00591,-0.193997
39503,-9.86509,1.02028,-0.258662
40511,-9.80042,1.0562,-0.201182
41515,-9.79323,1.03465,-0.172441
42519,-9.82916,1.09213,-0.193997
43535,-9.78605,0.998723,-0.208367
44541,-9.82916,1.0562,-0.229922
45550,-9.81479,1.07057,-0.237107
46554,-9.82197,1.0562,-0.215552
47556,-9.82197,1.04183,-0.193997
48560,-9.84353,1.06339,-0.215552
49563,-9.83635,1.07057,-0.172441
50569,-9.8579,1.06339,-0.136516
51572,-9.83635,1.03465,-0.193997
52574,-9.87227,1.00591,-0.201182
53579,-9.8579,1.09213,-0.222737
54583,-9.82197,1.08494,-0.179626
55592,-9.83635,1.04902,-0.229922
56598,-9.87227,1.0562,-0.237107
57602,-9.84353,1.06339,-0.158071
58605,-9.8579,1.1065,-0.208367
59621,-9.83635,1.04902,-0.208367
60637,-9.90101,1.07057,-0.244292
61642,-9.8579,1.01309,-0.208367
62652,-9.83635,1.09931,-0.172441
63658,-9.87227,1.03465,-0.244292
64662,-9.83635,1.04183,-0.222737
65669,-9.82197,1.03465,-0.179626
66672,-9.77886,1.06339,-0.201182
67678,-9.8579,1.02746,-0.201182
68683,-9.79323,1.03465,-0.172441
69683,-9.82916,1.02746,-0.222737
70691,-9.80042,1.06339,-0.150886
71694,-9.8579,1.09213,-0.122146
72695,-9.79323,1.04902,-0.251477
73701,-9.84353,1.04183,-0.201182
74707,-9.86509,1.01309,-0.201182
75715,-9.81479,1.04902,-0.215552
76718,-9.84353,1.12087,-0.208367
77733,-9.8579,1.07057,-0.186812
78735,-9.82916,1.02028,-0.186812
79741,-9.8579,0.998723,-0.208367
80748,-9.85072,1.12087,-0.129331
81765,-9.83635,1.02746,-0.208367
82770,-9.82916,1.13524,-0.222737
83772,-9.84353,1.01309,-0.215552
84776,-9.82197,1.07776,-0.158071
85786,-9.83635,0.984353,-0.237107
86787,-9.87227,1.09213,-0.215552
87787,-9.82197,1.01309,-0.222737
88792,-9.86509,1.07057,-0.229922
89797,-9.77886,1.01309,-0.265847
90802,-9.79323,1.07057,-0.143701
91805,-9.82197,1.06339,-0.258662
92808,-9.87227,1.03465,-0.179626
93815,-9.80042,1.04183,-0.265847
94819,-9.82197,1.08494,-0.208367
95823,-9.82197,1.03465,-0.172441
96829,-9.88664,1.0562,-0.193997
97837,-9.83635,1.06339,-0.244292
98847,-9.87946,1.07057,-0.244292
99852,-9.84353,1.03465,-0.237107
100858,-9.8076,1.04902,-0.179626
101859,-9.80042,1.0562,-0.208367
102859,-9.83635,1.09931,-0.165256
103863,-9.82916,1.04902,-0.222737
104868,-9.84353,1.04183,-0.229922
105877,-9.8579,1.04902,-0.186812
106879,-9.85072,1.0562,-0.222737
107885,-9.77168,1.12805,-0.215552
108890,-9.87227,0.890947,-0.193997
109893,-9.83635,1.1999,-0.193997
110901,-9.81479,0.991538,-0.244292
111911,-9.84353,1.12805,-0.215552
112914,-9.84353,1.07776,-0.215552
113917,-9.82916,1.01309,-0.287402
114922,-9.79323,1.07776,-0.107776
115930,-9.81479,1.11368,-0.165256
116939,-9.85072,0.905317,-0.215552
117943,-9.8076,1.19272,-0.179626
118949,-9.82916,0.991538,-0.150886
119949,-9.77168,1.07057,-0.258662
120957,-9.84353,1.04902,-0.193997
121973,-9.82197,1.07776,-0.208367
122975,-9.8579,1.02028,-0.222737
123979,-9.86509,1.0562,-0.172441
124984,-9.84353,1.07057,-0.193997
125992,-9.87946,1.03465,-0.186812
126998,-9.79323,1.07057,-0.193997
128001,-9.87227,1.08494,-0.208367
129001,-9.85072,1.11368,-0.201182
130007,-9.85072,0.991538,-0.208367
131014,-9.87227,1.1065,-0.186812
