tick,gx,gy,gz
2295,0.549333,0.534074,-0.19837
3306,0.549333,0.671407,0.305185
4309,-0.0457778,0.0457778,-0.0305185
5319,0.350963,0.350963,0.457778
6320,0.0305185,-0.503555,-0.0305185
7324,0.228889,0.762963,-1.35807
8325,0.732444,0.564592,-0.427259
9349,-0.274667,0.778222,0.549333
10357,-0.19837,0.21363,-0.305185
11361,0.976592,-0.686666,-0.991852
12365,0.167852,0.793481,0.0762963
13370,0.854518,-0.289926,-0.320444
14374,-0.289926,0.534074,-0.366222
15379,0.0762963,0.289926,-0.656148
16384,0.717185,-0.106815,1.02237
17388,0.686666,-0.412,-1.55644
18392,0.335704,0.122074,0.0152593
19408,0.656148,-0.061037,-0.061037
20416,1.43437,1.61748,-0.19837
21420,0.457778,0.503555,0.885037
22424,0.686666,0.442518,-0.0152593
23430,0.19837,0.640889,0.549333
24433,-0.701926,-0.503555,-0.0762963
25441,0.869778,0.518815,0.228889
26441,0.747703,0.152593,0.930815
27444,0.396741,-0.930815,0.289926
28448,0.824,0.762963,0.915555
29464,0.579852,0.305185,1.19022
30467,0.061037,1.49541,1.05289
31471,0.21363,0.457778,0.289926
32473,0.305185,-0.61037,-0.412
33477,0.671407,-0.778222,0.717185
34483,1.3123,0.518815,0.167852
35485,0.61037,0.701926,-0.106815
36489,0.930815,-0.228889,-0.0762963
37500,1.46489,0.320444,0.503555
38500,-0.0305185,0.412,-0.503555
39503,0.106815,-0.19837,0.152593
40511,0.350963,0.473037,0.137333
41515,0.412,0.839259,-0.19837
42519,0.106815,-0.457778,0.473037
43535,0.167852,-0.152593,-0.137333
44541,0.473037,-0.473037,0.885037
45550,0.228889,0.0762963,0.518815
46554,0.869778,0.747703,0.289926
47556,-0.0457778,-0.289926,0.80874
48560,-1.06815,-0.305185,-0.869778
49563,0.503555,0.625629,0.152593
50569,0.412,0.869778,-0.305185
51572,0.732444,0.991852,0.289926
52574,1.02237,0.350963,0.473037
53579,0.518815,-0.0152593,0.412
54583,0.579852,0.183111,-0.61037
55592,0.244148,0.824,-1.03763
56598,-0.412,-0.442518,0.778222
57602,0.396741,0.457778,0.854518
58605,1.03763,0.274667,0.21363
59621,0.686666,1.02237,-0.183111
60637,-0.396741,-0.122074,-0.320444
61642,0.335704,-0.19837,0.0152593
62652,0.824,0.137333,0.350963
63658,0.869778,-0.106815,0.259407
64662,1.14444,1.00711,0.625629
65669,-0.0457778,0.19837,0.061037
66672,-0.289926,-0.457778,0.442518
67678,0.427259,0.869778,0.915555
68683,1.00711,-1.03763,1.02237
