tick,flightState,filtered_altitude,filtered_acceleration
1649,IDLE,-0.222846,32.4292
1671,IDLE,-0.0509105,16.5092
1687,IDLE,0.0664786,11.9109
1703,IDLE,0.0888875,10.8443
1720,IDLE,0.104249,10.4676
1737,IDLE,0.153735,10.2982
1752,IDLE,0.123652,10.2086
1765,IDLE,0.120293,10.1513
1778,IDLE,0.0441384,10.1055
1791,IDLE,0.0144156,10.0777
1804,IDLE,-0.0184163,10.0491
1817,IDLE,-0.0169538,10.0336
1830,IDLE,-0.0635263,10.0187
1843,IDLE,-0.0720914,10.0099
1856,IDLE,-0.0917022,10.0002
1869,IDLE,-0.137924,9.99146
1882,IDLE,-0.157418,9.98355
1895,IDLE,-0.169608,9.97591
1908,IDLE,-0.175529,9.96999
1921,IDLE,-0.209669,9.96552
1938,IDLE,-0.2364,9.95876
1951,IDLE,-0.247443,9.95352
1964,IDLE,-0.253216,9.95282
1977,IDLE,-0.254351,9.95191
1990,IDLE,-0.275276,9.94805
2003,IDLE,-0.28705,9.94442
2016,IDLE,-0.30172,9.94219
2029,IDLE,-0.319046,9.93914
2042,IDLE,-0.338876,9.93651
2055,IDLE,-0.357544,9.93556
2068,IDLE,-0.375136,9.93222
2081,IDLE,-0.388361,9.93069
2094,IDLE,-0.407358,9.92996
2109,IDLE,-0.435004,9.9288
2122,IDLE,-0.445535,9.92979
2139,IDLE,-0.467889,9.92978
2152,IDLE,-0.483121,9.92847
2165,IDLE,-0.494582,9.92879
2178,IDLE,-0.511335,9.92758
2191,IDLE,-0.550611,9.92613
2204,IDLE,-0.568422,9.9249
2217,IDLE,-0.573849,9.92421
2230,IDLE,-0.587464,9.9235
2243,IDLE,-0.594908,9.92346
2256,IDLE,-0.601976,9.92241
2269,IDLE,-0.624673,9.92057
2282,IDLE,-0.63867,9.91846
2308,IDLE,-0.652097,9.91739
2321,IDLE,-0.657225,9.91688
2334,IDLE,-0.664633,9.91624
2352,IDLE,-0.674192,9.91659
2366,IDLE,-0.673543,9.91611
2379,IDLE,-0.680109,9.91533
2392,IDLE,-0.679336,9.91473
2405,IDLE,-0.685494,9.914
2418,IDLE,-0.698181,9.91304
