tick,temperature,pressure
2649,3501,90918
3767,3507,90916
4884,3507,90921
5994,3509,90917
7120,3511,90920
8228,3512,90918
9336,3514,90920
10452,3512,90918
11568,3514,90919
12681,3517,90923
13792,3519,90923
14906,3517,90917
16044,3517,90917
17171,3519,90918
18279,3522,90917
19395,3524,90922
20506,3521,90914
21616,3522,90911
22741,3526,90916
23852,3529,90917
24976,3529,90915
26094,3529,90919
27213,3534,90917
28326,3534,90919
29434,3536,90913
30553,3533,90917
31665,3536,90916
32786,3539,90917
33899,3541,90916
35009,3543,90918
36127,3543,90911
37245,3544,90920
38365,3548,90920
39477,3548,90916
40589,3548,90914
41696,3548,90912
42806,3549,90912
43928,3553,90921
45037,3553,90916
46149,3554,90914
47261,3554,90911
48369,3559,90920
49496,3559,90915
50608,3559,90916
51721,3559,90912
52837,3561,90915
53948,3564,90912
55066,3563,90914
56180,3564,90915
57288,3568,90913
58399,3564,90913
59509,3571,90916
60624,3571,90913
61737,3574,90917
62844,3573,90915
63960,3574,90918
65071,3578,90921
66182,3578,90912
67286,3578,90911
68395,3581,90912
69509,3581,90916
70622,3581,90910
71741,3581,90915
72852,3581,90915
73962,3586,90916
75074,3588,90918
76189,3588,90915
77298,3589,90915
78412,3589,90916
79522,3593,90914
80644,3593,90923
81752,3596,90915
82869,3595,90913
83981,3596,90924
85089,3598,90915
86207,3596,90915
87314,3600,90917
88441,3601,90917
89552,3603,90916
90667,3603,90918
91779,3605,90919
92906,3605,90915
94022,3605,90914
95132,3608,90920
96257,3610,90915
97374,3610,90915
98494,3610,90916
99609,3611,90916
100721,3613,90915
101846,3613,90916
102954,3616,90918
104070,3615,90917
105200,3606,90917
106311,3618,90919
107426,3618,90917
108537,3621,90920
109650,3621,90918
110762,3621,90915
111872,3625,90912
112983,3626,90919
114109,3625,90914
115225,3615,90914
116344,3625,90916
117465,3628,90916
118583,3626,90913
119691,3631,90919
120809,3628,90913
121917,3631,90915
123022,3631,90915
124134,3631,90913
125249,3623,90911
126361,3635,90911
127471,3636,90913
128583,3636,90918
129697,3636,90911
130809,3636,90909
131923,3638,90915
133031,3641,90916
134136,3640,90914
135246,3630,90906
136356,3641,90909
137476,3643,90909
